Pid    Uid    Gid    Arguments                                                       
1      0      0      /sbin/init maybe-ubiquity                                       
2      0      0      [kthreadd]                                                      
3      0      0      [kworker/0:0]                                                   
4      0      0      [kworker/0:0H]                                                  
5      0      0      [kworker/u2:0]                                                  
6      0      0      [mm_percpu_wq]                                                  
7      0      0      [ksoftirqd/0]                                                   
8      0      0      [rcu_sched]                                                     
9      0      0      [rcu_bh]                                                        
10     0      0      [migration/0]                                                   
11     0      0      [watchdog/0]                                                    
12     0      0      [cpuhp/0]                                                       
13     0      0      [kdevtmpfs]                                                     
14     0      0      [netns]                                                         
15     0      0      [rcu_tasks_kthre]                                               
16     0      0      [kauditd]                                                       
17     0      0      [khungtaskd]                                                    
18     0      0      [oom_reaper]                                                    
19     0      0      [writeback]                                                     
20     0      0      [kcompactd0]                                                    
21     0      0      [ksmd]                                                          
22     0      0      [khugepaged]                                                    
23     0      0      [crypto]                                                        
24     0      0      [kintegrityd]                                                   
25     0      0      [kblockd]                                                       
26     0      0      [ata_sff]                                                       
27     0      0      [md]                                                            
28     0      0      [edac-poller]                                                   
29     0      0      [devfreq_wq]                                                    
30     0      0      [watchdogd]                                                     
31     0      0      [kworker/u2:1]                                                  
32     0      0      [kworker/0:1]                                                   
34     0      0      [kswapd0]                                                       
35     0      0      [kworker/u3:0]                                                  
36     0      0      [ecryptfs-kthrea]                                               
78     0      0      [kthrotld]                                                      
79     0      0      [acpi_thermal_pm]                                               
80     0      0      [scsi_eh_0]                                                     
81     0      0      [scsi_tmf_0]                                                    
82     0      0      [scsi_eh_1]                                                     
83     0      0      [scsi_tmf_1]                                                    
84     0      0      [kworker/u2:2]                                                  
85     0      0      [kworker/u2:3]                                                  
89     0      0      [ipv6_addrconf]                                                 
98     0      0      [kstrp]                                                         
115    0      0      [charger_manager]                                               
116    0      0      [kworker/0:2]                                                   
155    0      0      [kworker/0:3]                                                   
173    0      0      [kworker/0:1H]                                                  
203    0      0      [scsi_eh_2]                                                     
204    0      0      [scsi_tmf_2]                                                    
205    0      0      [ttm_swap]                                                      
206    0      0      [irq/18-vmwgfx]                                                 
216    0      0      [kdmflush]                                                      
217    0      0      [bioset]                                                        
289    0      0      [raid5wq]                                                       
347    0      0      [jbd2/dm-0-8]                                                   
348    0      0      [ext4-rsv-conver]                                               
423    0      0      /lib/systemd/systemd-journald                                   
430    0      0      [iscsi_eh]                                                      
431    0      0      [ib-comp-wq]                                                    
432    0      0      [ib-comp-unb-wq]                                                
433    0      0      [ib_mcast]                                                      
434    0      0      [ib_nl_sa_wq]                                                   
438    0      0      /lib/systemd/systemd-udevd                                      
440    0      0      /sbin/lvmetad -f                                                
441    0      0      [rdma_cm]                                                       
467    0      0      [iprt-VBoxWQueue]                                               
607    0      0      [jbd2/sda2-8]                                                   
608    0      0      [ext4-rsv-conver]                                               
631    62583  62583  /lib/systemd/systemd-timesyncd                                  
738    100    102    /lib/systemd/systemd-networkd                                   
750    101    103    /lib/systemd/systemd-resolved                                   
834    0      0      /usr/lib/accountsservice/accounts-daemon                        
862    0      0      /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
863    0      0      /usr/sbin/atd -f                                                
879    0      0      /lib/systemd/systemd-logind                                     
881    102    106    /usr/sbin/rsyslogd -n                                           
882    0      0      /usr/bin/lxcfs /var/lib/lxcfs/                                  
883    103    107    /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
952    0      0      /usr/sbin/cron -f                                               
964    0      0      /usr/sbin/sshd -D                                               
965    0      0      /usr/lib/policykit-1/polkitd --no-debug                         
966    0      0      /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
1161   0      0      sshd: developer [priv                                           
1359   0      0      /sbin/agetty -o -p -- \u --noclear tty2 linux                   
1360   0      0      /sbin/agetty -o -p -- \u --noclear tty1 linux                   
1363   1000   1000   /lib/systemd/systemd --user                                     
1364   1000   1000   (sd-pam)                                                        
1439   1000   1000   sshd: developer@pts/0                                           
1440   1000   1000   -bash                                                           
1521   1000   1000   ./jN8ziHXGE                                                     
